iter	Passed	Remaining
887	1148	144
888	1150	143
889	1151	142
890	1152	141
891	1153	139
892	1154	138
893	1155	137
894	1156	135
895	1158	134
896	1160	133
897	1160	131
898	1162	130
899	1163	129
900	1164	127
901	1165	126
902	1166	125
903	1167	124
904	1168	122
905	1169	121
906	1171	120
907	1172	118
908	1173	117
909	1174	116
910	1175	114
911	1176	113
912	1177	112
913	1178	110
914	1179	109
915	1180	108
916	1181	106
917	1182	105
918	1183	104
919	1184	103
920	1186	101
921	1187	100
922	1188	99
923	1189	97
924	1190	96
925	1191	95
926	1192	93
927	1193	92
928	1194	91
929	1196	90
930	1197	88
931	1198	87
932	1199	86
933	1200	84
934	1201	83
935	1203	82
936	1204	80
937	1205	79
938	1206	78
939	1207	77
940	1208	75
941	1210	74
942	1211	73
943	1212	71
944	1213	70
945	1215	69
946	1216	68
947	1217	66
948	1218	65
949	1219	64
950	1221	62
951	1222	61
952	1223	60
953	1224	59
954	1225	57
955	1226	56
956	1227	55
957	1228	53
958	1229	52
959	1230	51
960	1231	49
961	1232	48
962	1234	47
963	1234	46
964	1235	44
965	1236	43
966	1237	42
967	1238	40
968	1239	39
969	1240	38
970	1241	37
971	1242	35
972	1243	34
973	1244	33
974	1245	31
975	1246	30
976	1247	29
977	1248	28
978	1249	26
979	1251	25
980	1252	24
981	1253	22
982	1254	21
983	1255	20
984	1256	19
985	1257	17
986	1258	16
987	1259	15
988	1260	14
989	1261	12
990	1262	11
991	1263	10
992	1264	8
993	1265	7
994	1266	6
995	1267	5
996	1269	3
997	1270	2
998	1271	1
999	1272	0
